ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,Response
7286,1968,Graduation,Together,,1,,24-05-13,92,13,,13,1,2,,2,10,0,0,0
7244,1951,,Single,,2,1,01-01-14,96,48,5,7,3,2,,4,6,0,0,0
6566,1954,PhD,Married,72550,1,1,08-11-12,39,826,50,38,,5,2,12,8,0,0,0
8614,1957,Graduation,Widow,65486,0,1,12-05-14,29,245,19,14,1,4,2,10,2,0,0,0
4114,1964,,Married,,0,0,11-08-12,2,650,37,,1,6,9,13,3,0,0,0
1331,1977,,Single,35790,1,0,02-01-13,54,12,,3,2,2,0,3,7,0,0,0
2225,1977,Graduation,Divorced,82582,0,0,07-06-14,54,,120,241,1,4,9,,1,1,0,1
9381,1978,Graduation,Married,,1,1,,57,328,9,109,7,4,2,10,3,0,0,0
6260,1955,Master,Together,82384,0,0,19-11-12,55,984,51,190,1,3,10,,1,0,,1
,1966,Graduation,Divorced,70287,0,0,02-04-13,30,295,35,40,1,,5,,3,0,0,1
7437,1988,Graduation,Single,27938,1,0,28-04-14,31,13,0,,1,,,4,3,0,0,0
8557,1982,,Single,,1,0,17-06-13,57,11,3,6,2,2,0,3,,0,0,0
8375,1968,PhD,Married,55954,0,1,03-03-14,,,0,43,3,8,2,6,7,,0,0
,1982,Master,,75777,0,0,04-07-13,12,712,26,,1,,6,,1,,,
3076,1975,Graduation,Together,66653,1,1,07-09-12,18,452,18,6,4,4,2,,3,0,0,0
1012,1952,Graduation,Single,61823,0,,18-02-13,26,,7,169,4,8,2,,7,0,0,0
6518,,PhD,Widow,67680,,1,11-06-13,8,546,0,6,,7,3,8,,,0,0
4137,,Graduation,Together,70666,0,0,06-12-13,,398,40,30,1,7,4,4,,,0,0
8082,1971,Graduation,Married,25721,,0,21-05-13,75,1,,15,1,1,1,2,7,0,,1
1386,1967,Graduation,,32474,1,1,,0,10,0,,1,1,0,2,7,0,0,0
,1979,2n Cycle,Single,,0,1,19-03-14,19,,14,,1,,10,10,5,1,0,1
4477,1958,Graduation,Together,69096,0,1,,4,247,49,109,1,5,,,4,0,0,0
1357,1970,Graduation,Together,74854,1,2,08-04-13,90,856,59,73,7,2,,5,,0,0,0
1402,1954,Master,Married,66991,0,0,11-09-12,1,496,,,3,4,,6,3,0,0,0
10629,1973,2n Cycle,,,1,0,,,25,3,,3,3,0,3,8,0,0,0
6312,1959,Graduation,Married,65031,0,1,,29,258,107,86,4,10,3,13,7,0,0,0
8132,,PhD,Married,60631,,1,05-04-13,88,565,6,19,5,9,,8,7,0,,0
1050,1952,Graduation,,28332,0,0,30-04-14,,14,10,9,1,2,,4,2,0,,0
,1977,Graduation,Divorced,40246,1,0,19-12-12,68,2,1,,,1,0,2,6,0,0,0
1859,1972,Master,,75251,,0,27-08-12,34,721,111,,1,7,6,5,,0,0,1
7503,,Graduation,Single,75825,0,0,12-10-12,40,1032,105,51,0,,8,9,4,0,0,1
10401,1976,,Together,26326,,0,04-09-13,12,,0,9,,,0,3,3,,,0
1618,1965,Graduation,Together,,,0,,,,0,51,2,10,,8,,0,0,
3332,1985,Graduation,Single,,1,0,,87,64,,,4,3,1,4,8,0,0,
,1969,Graduation,Married,26304,,0,23-06-13,5,4,1,,,1,0,2,7,0,0,0
5346,1973,2n Cycle,Married,23559,1,0,03-07-13,87,25,5,,3,3,0,3,7,0,0,
4119,1963,Master,Together,38620,0,,11-05-13,56,112,17,89,,2,5,3,3,0,0,0
535,1987,Graduation,Divorced,81361,0,0,25-02-14,18,163,23,76,1,3,10,13,1,0,,0
,1960,Graduation,Married,29440,1,,11-08-13,95,17,8,3,2,1,0,4,7,0,,0
,1970,Master,Married,36138,1,1,16-07-13,,130,0,5,5,3,1,4,7,0,,0
4452,1957,Graduation,Single,,0,1,28-05-14,3,,6,34,4,6,1,6,,1,0,1
,1973,Graduation,Married,79593,0,0,12-05-14,70,350,60,145,1,5,6,,2,0,0,0
771,1967,Graduation,Together,54178,0,1,,79,135,9,7,1,2,2,5,2,0,,
8996,1957,PhD,Married,,2,1,19-11-12,4,230,,53,12,7,,8,9,0,0,0
9235,1957,Graduation,Single,,1,1,,45,7,0,1,1,1,0,2,7,0,0,0
,,Master,Together,,0,0,23-11-13,87,445,37,18,1,2,4,8,1,0,,0
11178,1972,Master,,,,0,,69,15,2,4,1,1,0,,7,0,0,0
,,PhD,Married,23626,1,,24-05-14,84,27,2,0,3,3,1,3,5,0,0,0
7516,,,Married,30096,1,0,22-05-14,30,5,3,9,1,2,0,3,6,0,,0
7247,1960,Graduation,,47916,0,1,22-11-12,72,505,0,,5,,4,6,6,0,0,0
11100,1972,Graduation,Divorced,51813,1,1,11-04-13,37,51,2,2,2,2,,3,7,0,0,
4646,1951,2n Cycle,Married,78497,0,0,01-12-13,44,207,26,223,1,5,7,12,2,1,0,0
,1983,PhD,Married,50150,0,0,20-06-13,32,135,46,11,,5,2,7,5,,0,0
1473,1960,,Single,47823,0,1,,,53,1,10,2,2,0,3,8,0,,0
1016,1959,PhD,,34554,0,,30-03-14,43,41,1,5,2,2,,3,6,0,0,0
4518,1979,Graduation,Together,,0,1,20-04-13,59,386,172,111,,9,5,,,,0,0
9370,1945,PhD,,65846,0,0,17-05-13,68,562,,81,1,6,3,6,,0,0,0
8908,1959,Graduation,Married,87195,0,,08-05-14,35,217,76,38,1,3,11,5,1,0,,1
8373,1979,Basic,Together,,1,0,,94,,3,9,,1,,,5,0,0,0
7533,,Graduation,Married,49096,1,1,24-09-13,15,144,,7,4,4,1,,7,0,0,
,1969,Graduation,Married,,,2,02-02-13,56,295,106,65,4,6,4,12,6,0,0,0
,1978,Graduation,Single,38557,1,0,19-12-12,17,76,3,27,2,3,1,3,,0,0,0
,1960,,Married,89058,0,0,,18,454,194,43,1,,4,4,2,0,0,
5077,1979,Graduation,Together,77298,0,1,02-11-13,46,425,115,79,1,6,6,11,3,0,0,
,1991,PhD,Single,68126,,0,10-11-12,40,,17,86,1,7,4,5,9,0,0,1
,1963,Master,Together,57288,0,1,25-06-14,27,527,0,60,,,1,8,6,0,0,0
999,1991,Graduation,,,0,0,02-01-13,95,490,44,22,1,,7,11,,0,0,1
9215,,,Married,,1,0,12-12-12,19,378,0,72,5,6,,6,7,0,0,0
2286,1962,Graduation,Single,,1,1,10-09-13,27,64,,27,2,2,,3,6,0,0,0
1592,1970,Graduation,Married,,0,0,24-01-14,25,547,99,33,0,4,6,5,1,1,0,
367,1978,2n Cycle,Married,,1,0,19-02-13,74,47,90,120,,9,1,5,9,0,0,0
5234,1967,2n Cycle,Together,,1,1,11-07-13,85,12,5,30,2,1,1,3,5,0,,0
9862,,Graduation,Together,,1,0,14-11-13,37,1,6,3,2,2,0,,6,0,0,0
9805,,Master,,,0,1,20-06-13,65,320,48,48,4,6,2,10,4,0,0,0
6205,1967,Master,Single,32557,1,0,24-02-14,13,34,3,10,3,2,1,3,5,0,0,1
8442,,Master,Married,19510,2,0,04-09-13,63,9,0,7,2,1,0,3,7,0,0,0
7386,1976,Graduation,Divorced,30992,,0,22-04-13,83,17,0,2,1,1,0,3,7,0,0,0
7215,1983,Graduation,Single,101970,0,0,,69,722,27,168,0,6,8,13,,1,0,1
,1965,2n Cycle,Together,71488,0,0,18-02-13,87,162,33,172,2,3,,7,1,0,0,
11071,1984,Graduation,Single,79607,0,0,21-04-13,,450,133,216,1,3,6,6,1,0,0,1
3381,1953,,,54348,,1,08-06-14,51,70,0,,2,,0,4,6,0,0,0
8268,1961,PhD,Married,,0,1,11-07-13,23,352,0,15,3,,1,7,6,0,0,0
11051,1956,PhD,Together,77376,1,1,10-05-14,72,492,19,12,4,6,3,10,4,0,0,0
8026,1952,Graduation,Married,62998,0,,30-09-13,10,120,58,58,5,5,4,5,5,0,0,
,1958,Master,Alone,61331,1,,10-03-13,42,534,5,41,5,11,,6,8,0,0,0
9597,1969,Graduation,Married,73448,0,,10-02-14,10,236,,130,1,,2,9,4,0,0,0
1295,1963,Graduation,Married,,,1,11-08-13,96,231,,124,1,6,5,7,4,0,0,0
5290,1964,PhD,Married,,1,1,14-08-13,51,220,0,23,5,5,1,5,8,0,,0
1685,1967,PhD,Together,62981,0,0,17-03-13,21,796,14,0,1,4,5,13,3,0,0,0
5342,1976,Basic,Divorced,9548,,0,08-08-12,,,,9,2,1,0,,8,0,0,0
9579,,PhD,Married,33762,2,1,07-07-13,61,,1,16,3,,2,2,8,0,,
7660,1973,PhD,,35860,,1,19-05-14,37,15,0,20,2,1,1,,5,0,0,
1461,1965,PhD,Divorced,36921,1,1,28-07-13,74,17,1,4,2,2,0,3,7,0,0,0
821,1992,Master,Single,92859,,0,,46,962,,20,1,5,4,12,2,0,0,0
,1976,Master,Together,65104,0,1,14-11-13,4,738,0,50,2,,5,7,7,,0,1
8690,1962,Graduation,Married,86111,0,0,19-04-13,73,399,28,126,,5,7,10,2,0,0,0
2937,1974,PhD,Single,68352,0,1,28-08-13,47,614,16,,3,8,5,9,6,0,0,0
9701,1988,Graduation,Together,41883,,0,19-03-13,13,32,34,,3,4,2,3,7,0,0,0
9949,1976,Graduation,,59809,,2,18-10-12,36,598,16,49,3,3,3,,8,0,0,0
10837,1975,Graduation,Married,23957,1,,28-10-12,47,2,1,16,1,2,0,3,6,0,0,1
3120,1981,Graduation,Together,38547,1,0,28-08-13,49,6,1,4,,1,0,2,8,,0,0
5885,1973,2n Cycle,Married,35688,,1,,94,73,3,32,7,4,1,4,8,0,0,
4050,1966,,,49605,0,,21-06-14,65,42,,8,1,2,,4,3,0,0,0
3830,1953,,Married,59354,0,2,,59,,21,13,1,,4,7,3,0,0,0
7987,1969,Graduation,Married,,0,,07-03-14,96,346,17,13,4,8,1,6,6,0,0,0
,,2n Cycle,Together,46344,0,1,14-12-12,28,233,,,4,7,1,5,7,0,0,
92,1988,Graduation,Alone,34176,1,0,12-05-14,12,,7,20,4,,0,4,6,0,0,0
7055,1952,,Together,61010,,1,09-10-12,57,888,,,2,8,5,,5,0,,0
10240,1949,Graduation,Together,69372,0,,19-02-13,10,997,,,1,10,4,6,,0,0,1
3025,,Graduation,Single,49967,0,1,08-07-13,4,212,6,3,3,6,1,5,7,0,0,0
9283,1978,Graduation,Single,60199,1,2,,49,8,1,0,1,0,0,3,,0,0,0
9970,,Graduation,Together,55375,0,1,17-10-13,3,42,11,,1,1,1,6,2,0,0,0
,,,Single,,0,0,20-08-13,64,536,11,57,1,3,4,10,1,0,0,0
2795,1958,Master,Single,30523,2,1,01-07-13,0,5,0,5,,1,0,2,7,0,0,0
9260,1945,PhD,Married,70356,0,0,05-11-12,,1349,16,33,2,10,6,9,6,0,0,
8182,1984,,Married,23228,1,0,05-01-14,91,53,3,5,4,3,,4,8,0,0,0
10095,1975,PhD,Divorced,74165,0,0,01-05-13,9,,12,12,1,,4,10,2,,0,0
8475,1973,,,157243,0,,01-03-14,98,20,2,1,15,0,22,0,0,0,0,0
4370,1966,Graduation,Together,43482,2,,13-11-13,83,,1,28,3,2,0,4,6,,0,0
10573,1953,Graduation,Divorced,62551,0,0,18-11-13,27,125,16,,1,6,7,4,3,0,,0
3712,1959,Graduation,Divorced,52332,0,,28-08-13,63,212,5,2,,3,2,,4,0,0,0
6637,1988,Graduation,,,,0,02-11-13,46,277,162,,,3,4,7,1,0,0,0
3152,1957,Graduation,Together,26091,1,1,25-02-14,84,15,10,20,3,2,,3,5,0,0,0
5610,1965,Graduation,Together,33456,,1,21-04-14,58,,3,7,2,,0,3,7,,0,0
6460,1982,,Married,28718,,0,13-07-13,78,12,4,16,,,0,3,8,0,0,0
,1970,Graduation,Married,,2,0,21-04-14,4,85,7,27,1,3,1,3,6,0,0,0
,1959,PhD,Together,,1,,30-01-14,17,81,0,6,2,2,1,3,5,,0,
641,1967,Graduation,Single,52074,0,1,04-04-14,77,59,0,48,1,2,2,2,4,0,0,
8717,1975,,Married,80427,,1,12-09-12,,1149,71,26,,11,8,8,5,0,0,0
10314,1948,PhD,Married,83837,0,,16-12-12,79,847,66,111,1,9,10,5,4,1,0,1
,1970,PhD,,38853,1,1,23-05-14,90,29,0,2,,2,0,3,7,0,0,
10492,1959,Graduation,Together,38285,2,1,24-06-14,96,2,0,1,1,0,0,3,2,,0,0
6935,1951,2n Cycle,Married,78497,0,0,01-12-13,44,207,26,223,,5,7,12,,1,0,
7698,,PhD,Married,51650,0,1,11-05-14,81,152,3,7,1,4,1,4,,0,,0
,,2n Cycle,Married,16248,,0,10-05-14,77,12,11,9,,2,1,3,6,0,0,0
10562,,Master,Married,66835,0,0,28-09-13,21,,26,141,1,6,,13,2,0,0,0
10796,1984,Master,Married,30477,1,0,22-01-14,16,47,1,12,1,1,1,3,6,0,,0
2563,1961,Basic,Married,28249,0,0,15-06-14,,1,9,10,1,2,0,3,6,0,0,0
3518,1983,Graduation,Married,25271,,,05-12-12,45,,1,7,1,1,1,2,9,0,0,0
5823,1970,PhD,Single,32303,0,1,08-03-14,63,35,0,2,2,1,0,4,5,0,0,0
3934,,Graduation,,,0,1,02-08-13,34,,0,117,2,,1,8,5,0,0,
6982,1976,,Married,74068,,0,19-03-13,14,783,,15,1,4,10,9,2,0,0,0
6431,1964,PhD,Married,45759,1,1,23-02-13,13,42,1,4,,2,0,3,7,0,0,0
9733,1978,Basic,Together,24882,1,0,,52,1,4,36,1,1,1,2,6,,0,0
,1989,PhD,Together,66973,0,0,17-05-13,98,466,22,102,1,8,7,12,3,0,0,0
7829,1900,2n Cycle,Divorced,36640,,0,26-09-13,99,15,6,25,1,2,1,2,5,0,0,
1324,1988,Graduation,Married,38872,1,0,30-05-13,93,23,3,22,2,3,0,3,8,0,0,0
326,1973,Graduation,,51148,,1,18-02-13,38,235,6,12,4,5,1,6,6,0,0,
7224,1977,Graduation,Married,31353,1,,,24,10,0,7,2,1,1,2,,0,0,0
6999,1980,Master,,69661,0,0,13-05-14,,656,,8,1,7,3,12,3,0,0,0
9938,1954,Graduation,Married,80067,,0,19-09-13,82,519,17,,,4,6,6,2,0,0,0
6422,1954,Graduation,Married,86718,,0,17-01-13,20,344,189,172,1,,6,5,2,0,0,0
3182,1973,,Single,46854,1,1,31-03-14,81,96,1,79,6,5,1,3,8,0,0,
7300,1952,Graduation,Divorced,69142,0,1,29-06-14,50,448,4,39,3,8,,7,5,0,,0
10424,1968,Graduation,Single,75922,0,,09-12-13,60,265,,92,1,4,4,9,1,0,0,0
8727,1978,Graduation,Divorced,63693,0,1,14-10-13,63,587,43,54,3,11,6,9,6,0,0,
,,PhD,Together,102160,0,0,02-11-12,,763,29,58,0,7,9,10,,1,0,
,1965,PhD,Single,40637,,1,17-07-13,72,22,0,3,2,1,0,3,7,0,,0
,,Master,Single,18890,0,0,10-11-12,5,,4,,1,0,1,2,6,,0,1
5176,1988,,Together,29604,1,,08-12-13,,7,6,14,1,1,0,,9,0,0,
5552,1963,Master,Divorced,48721,,1,13-05-13,50,81,18,21,6,4,2,5,6,0,0,
868,1966,,Married,44794,0,1,,99,54,0,4,1,2,0,,,0,0,0
380,,Graduation,,64497,0,1,10-09-12,,1170,,192,5,11,,9,8,0,0,1
2677,,Graduation,Together,46097,0,1,31-03-13,11,72,24,8,5,,1,6,4,0,0,0
6521,1954,Graduation,Together,,0,0,18-03-14,18,613,22,12,1,4,,9,1,0,0,0
,1968,PhD,Married,44377,1,1,05-10-12,,224,,10,8,5,1,5,,0,0,0
2877,1974,Master,Together,46014,,1,21-01-13,21,,0,44,10,7,,8,7,0,0,0
0,1985,Graduation,,70951,0,0,04-05-13,66,239,10,54,,3,4,9,1,0,0,0
1584,1977,Graduation,,,1,,01-04-14,79,171,7,89,6,8,1,5,8,0,0,0
7264,,2n Cycle,Single,52195,2,1,12-05-14,,12,0,,1,1,0,2,8,0,0,0
6274,1948,Master,Married,83790,0,,15-11-13,81,1076,16,16,1,8,10,6,3,0,,0
1377,1954,,Widow,44551,0,1,31-08-13,24,182,4,66,2,,1,5,7,,0,0
454,1980,,Together,69508,1,0,,48,,32,43,2,11,4,11,6,0,0,
1755,1988,,Together,45204,1,0,11-04-14,93,30,11,18,1,1,1,4,3,,0,0
,1969,Graduation,Married,72460,0,0,14-11-13,56,,10,10,1,3,,7,1,0,0,0
4785,1970,PhD,Together,77622,0,2,14-04-14,3,520,7,14,,6,3,11,3,0,0,
9076,1980,PhD,Married,30732,1,0,05-01-13,44,155,,3,4,4,,4,8,0,0,0
7079,1962,Graduation,Divorced,63887,0,1,08-09-12,38,897,,92,5,9,6,12,6,0,0,0
4653,1978,,Together,42011,1,0,26-03-13,46,,0,39,4,3,,4,8,,0,
7375,1976,Graduation,Together,51369,0,1,25-10-12,84,,7,182,2,8,2,4,,0,0,0
709,1952,,Divorced,51537,0,1,09-12-12,27,787,20,92,3,2,2,11,8,0,,0
460,1972,,Married,79930,0,0,08-08-12,72,792,86,17,1,3,5,8,2,0,0,0
3726,1986,PhD,Together,34320,1,0,,66,4,,0,1,1,0,2,8,0,0,0
6798,1966,Graduation,Single,37070,1,,20-03-13,30,231,7,39,9,5,1,8,7,0,0,1
,1962,2n Cycle,Divorced,81975,0,1,05-01-13,2,983,,27,1,,3,4,7,0,0,
1606,1971,Graduation,Together,,1,0,15-05-13,,3,1,3,,1,0,,8,0,0,0
9617,1951,Graduation,Single,15033,0,0,16-04-14,,0,,4,1,1,,3,3,0,0,
3233,1965,PhD,Married,62745,0,,,89,562,21,32,3,7,8,11,5,0,0,0
89,1975,2n Cycle,Married,,1,0,09-12-13,49,5,9,21,2,2,0,,6,0,0,0
2936,1982,Master,,,1,0,04-12-13,46,18,,1,1,1,0,,,0,0,0
9449,1958,PhD,Single,79761,0,1,,32,415,5,,1,5,2,11,3,0,,0
7297,,,Single,7500,1,,26-12-13,,5,3,20,4,3,,3,7,0,0,0
11004,1893,2n Cycle,Single,60182,0,1,17-05-14,23,8,0,,1,1,0,,4,0,0,0
313,1968,Graduation,Widow,73455,0,,28-10-13,98,901,61,20,1,6,5,,3,0,,0
9940,1958,Graduation,Together,64961,0,1,23-12-12,97,382,114,38,2,6,4,4,3,,0,
10735,1971,Graduation,Single,,1,0,,75,14,1,1,1,,0,2,9,0,0,0
9529,1990,Graduation,Married,73687,0,0,,8,559,153,181,1,3,9,9,,,0,1
6439,1958,Graduation,Married,61074,0,1,17-08-12,37,,0,152,7,11,5,8,7,,0,0
7411,1964,PhD,Married,31686,1,1,05-06-14,,11,0,1,2,1,0,3,6,0,,0
2176,1972,Graduation,Married,80134,1,0,20-05-13,40,1218,16,,2,,3,6,6,1,0,1
9265,1953,Graduation,Married,75027,0,1,09-01-13,74,,64,77,,9,,6,5,0,0,0
8867,1988,PhD,Married,67546,0,0,31-08-12,90,,134,172,,4,10,5,3,0,0,0
8932,,Master,Together,65176,0,1,29-10-12,57,960,28,,4,9,6,6,6,0,0,0
10236,1975,Master,,,1,0,16-09-13,59,16,,,2,2,0,3,8,0,0,0
,1985,Graduation,Single,29938,1,0,,52,3,3,11,,,,3,6,0,0,0
10089,,,,102692,0,0,05-04-13,5,168,148,148,1,6,9,,2,1,1,1
2227,,,Together,26490,0,0,22-09-12,92,45,47,25,2,3,1,5,,0,0,0
,1967,Graduation,Together,75702,1,,29-08-12,77,,28,30,5,,6,11,,0,0,0
5304,1974,PhD,Single,30899,1,0,13-10-12,35,24,0,1,2,1,0,3,6,0,0,0
309,1961,PhD,Together,63342,0,1,,,918,21,21,3,8,3,,6,,0,
,1964,Graduation,,45989,,1,22-10-12,97,138,33,12,4,3,,7,3,0,0,0
2661,1964,Graduation,,18701,,1,04-06-13,95,12,4,10,4,,0,4,,0,0,0
,1957,,Single,40737,2,1,08-12-13,24,11,,2,1,1,0,2,,0,0,0
10264,1979,Graduation,Divorced,15287,1,0,10-10-12,60,1,2,13,2,1,,,7,0,,1
1184,1968,PhD,Divorced,69674,0,2,22-05-13,46,554,41,24,3,,2,10,5,0,0,0
,1970,Master,Married,44159,1,0,17-06-14,,167,2,7,4,4,,6,5,0,0,0
9396,1978,PhD,Married,,1,0,23-11-12,31,9,0,5,,1,,,9,0,0,0
2387,1952,Master,Together,43776,1,1,03-02-13,9,177,2,20,6,5,,4,8,0,0,1
6690,1966,Master,Married,38179,1,1,14-03-13,30,38,4,,4,3,1,3,7,0,0,0
1225,1963,Graduation,Married,80124,0,0,26-06-14,47,483,84,,1,3,,8,,0,0,0
,1970,PhD,,38097,,1,15-10-12,70,77,2,69,4,3,2,2,7,0,0,
291,1970,Graduation,Married,72940,,,19-06-13,13,182,74,116,1,3,3,6,,,0,0
,1970,Graduation,Together,22070,1,0,04-10-13,11,10,7,21,,2,2,2,6,0,0,0
2379,1953,Graduation,Single,69267,0,0,22-09-12,,778,44,146,2,3,,,7,0,0,1
5726,1983,Master,Single,31788,1,0,20-03-14,15,16,,6,,3,0,4,5,0,0,0
3066,,PhD,,61905,0,1,04-02-14,2,167,0,13,2,4,2,,5,0,0,0
,1960,Graduation,,29315,1,1,06-04-14,55,13,2,4,4,2,0,4,6,0,0,0
10967,1963,Graduation,Divorced,33378,1,1,06-02-13,38,33,6,,3,2,0,4,7,0,0,0
2304,1963,PhD,Together,66313,0,1,16-09-13,86,625,7,,2,6,3,,,0,0,0
3445,1956,Graduation,Single,60714,0,0,17-01-13,56,216,162,162,2,7,4,10,5,0,0,1
7828,1981,Master,,77882,0,0,30-04-14,,68,129,15,1,3,3,,1,0,0,0
3762,1986,,Single,69867,0,0,02-04-13,30,196,0,,1,,5,8,1,1,0,1
4391,1968,,Divorced,63841,0,,21-04-13,64,635,15,,1,9,3,9,6,0,0,
4669,1981,Basic,Married,,1,0,11-02-13,46,4,19,17,3,3,0,,7,0,0,
,1976,Graduation,Together,51369,0,,25-10-12,84,297,7,182,2,8,2,4,8,0,0,0
8652,1946,Graduation,Together,,0,0,31-08-12,20,84,5,,2,4,1,6,7,0,0,0
,1974,PhD,Together,65640,0,1,01-03-14,74,204,7,66,1,5,1,8,2,0,0,0
8962,1975,Master,Married,44319,1,1,17-04-14,18,26,0,3,2,2,0,3,5,0,0,0
9974,1974,Graduation,Married,30631,1,0,12-07-13,75,15,6,20,1,3,1,2,7,0,,0
10983,,Graduation,Together,,0,0,29-01-13,17,304,98,74,1,6,,13,3,0,0,0
8148,1956,Master,Together,50898,1,1,08-01-13,88,285,28,,,6,2,12,5,0,0,0
10102,1966,Graduation,Widow,79946,0,0,,19,395,,28,1,5,,5,3,,0,0
4697,1949,Master,Divorced,35416,0,0,13-06-13,62,248,3,51,3,7,1,5,8,0,0,
9262,1984,2n Cycle,Together,32414,,0,,11,20,6,12,1,1,0,3,7,0,0,0
7254,1969,Graduation,Together,,1,,27-12-13,74,,0,14,3,3,1,3,7,0,0,
4543,1980,Graduation,,82497,0,,31-10-12,,777,129,203,1,2,7,9,4,0,0,
,1971,Graduation,Together,16626,2,0,15-01-14,76,8,3,13,3,3,,3,9,0,0,0
10451,1965,Graduation,Together,29672,1,1,12-03-13,,9,,8,1,0,0,3,6,0,0,0
